Název,IČO,Popis,Typ zařízení,Zřizovatel,Kapacita,Bezbariérovost,Typ bezbariérovosti,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Název okresu,Kód okresu dle číselníku ČSÚ,Název správního obvodu obce s rozšířenou působností,Kód správního obvodu obce s rozšířenou působností dle číselníku ČSÚ,Název obce,Kód obce dle číselníku ČSÚ,Název ulice,Číslo popisné nebo evidenční podle typu čísla domovního,Typ čísla domovního,Číslo orientační,PSČ,Webové stránky,Telefon,Email,Zápis vektorové geometrie,Zeměpisná délka v souřadnicovém systému WGS84,Zeměpisná šířka v souřadnicovém systému WGS84,Jedinečný identifikátor v katalogu otevřených dat Data KHK,ID,x2,y2
Adalbertinum,27472809,"Budova Adalbertina byla postavena v letech 1895-97 v historizujícím novorenesančním stylu podle návrhu architekta Františka Hellmana. V současnosti zde sídlí Hradecká kulturní a vzdělávací společnost a budova poskytuje prostředí pro pořádání kulturních a společenský akcí, kongresů, konferencí, školení, apod. V objektu jsou sály s kapacitou až 440 míst, tělocvična a salonky a učebny s kapacitou 20 až 30 míst.",multifunkční prostor,Hradecká kulturní a vzdělávací společnost,440,ANO,tělesně postižené,Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Československé armády,300,č.p.,,50003,http://www.adalbertinum.cz,+420495514722,info@adalbertinum.cz,POINT(50.2112056 15.8311492),15.8311492,50.2112056,DIVFILH1,1,1762315.46761635,6482933.59282917
Amfiteátr Chlum,22848533,Lesní divadlo Chlum má historii už v roce 1896. Od roku 2010 bylo opět oživeno neziskovou organizací a v letním období se zde pravidelně konají kulturní akce.,přírodní divadlo,Sdružení Amfiteátr Chlum,1000,NE,,Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Všestary,571091,Lípa,,,,50312,http://www.amfiteatrchlum.cz/,+420606776584,info@amfiteatrchlum.cz,POINT(50.2800081 15.7401872),15.7401872,50.2800081,DIVFILH2,2,1752189.62409481,6494910.27085243
Boučkovo loutkové divadlo,69839573,"Budova divadla je bývalým zahradním domkem, který byl přistaven v roce 1938. Sídlí zde druhá nejstarší loutková scéna v České republice. ",divadlo,Boďi Jaroměř z.s.,100,NE,,Královehradecký kraj,CZ052,Náchod,CZ0523,Jaroměř,5206,Jaroměř,574121,Nám. Dukelských hrdinů,238,č.p.,,55101,http://bodi.cz/,+420777812470,bodi@bodi.cz,POINT(50.3525203 15.9178294),15.9178294,50.3525203,DIVFILH3,3,1771964.66334221,6507551.45953319
Divadlo Aloise Jiráska,47466014,"Stavba divadla, realizovaná podle novoklasicistního projektu architekta Josefa Záruby byla dokončena v roce 1947. V budově působí Spolek divadelních ochotníků Alois Jirásek.",divadlo,Městské kulturní středisko Úpice,400,ANO,tělesně postižené,Královehradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Úpice,579777,Chelčického ,216,č.p.,,54232,http://www.divadloupice.cz,+420499882197,divadloupice@centrum.cz,POINT(50.5115942 16.0155725),16.0155725,50.5115942,DIVFILH4,4,1782845.37546276,6535350.90770295
Divadlo Divadelního souboru Erben,70188076,"V divadle je pravidelně pořádáno Miletínské divadelní jaro, přehlídka venkovských divadelních souborů a akce Divadelní Erbenův Miletín, tradiční podzimní festival amatérských divadelních souborů.",divadlo,Divadelní soubor Erben,190,NE,,Královehradecký kraj,CZ052,Jičín,CZ0522,Hořice,5204,Miletín,573175,náměstí K. J. Erbena,98,č.p.,,50771,http://dserben.miletin.cz,+420604633719,divadlo.miletin@seznam.cz,POINT(50.4040925 15.6812108),15.6812108,50.4040925,DIVFILH5,5,1745624.40127799,6516553.89116148
Divadlo Drak,27504671,Budova Divadla Drak je budovou bývalého Studentského domova z roku 1923 a byla postavena podle návrhu architekta Václava Reichla. Od roku 1959 zde působí Loutkové divadlo. Dnes je v prostorách i interaktivní divadelní muzeum. ,divadlo,"Město Hradec Králové, Královéhradecký kraj",160,ANO,tělesně postižené,Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Hradební ,632,č.p.,1,50003,http://draktheatre.cz,+420495514721,info@draktheatre.cz,POINT(50.2076453 15.8385317),15.8385317,50.2076453,DIVFILH6,6,1763137.28375713,6482314.30982492
Divadlo J. K. Tyla,00188557,"Divadlo J. K. Tyla se nachází přímo v centru města Červený Kostelec a bylo slavnostně postaveno v roce 1925 dle návrhu architekta Roberta Dvořáčka. V divadle se nachází velký a malý sál, klubovny a kavárna. ",divadlo,Město Červený Kostelec,398,ANO,tělesně postižené,Královehradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Červený Kostelec,573965,Komenského ,537,č.p.,,54941,http://www.cervenykostelec.cz/budovy-a-verejne-prostory/divadlo-j-k-tyla,+420491465876,mksck@mksck.cz,POINT(50.4786108 16.091744),16.091744,50.4786108,DIVFILH7,7,1791324.74805572,6529579.10998836
Divadlo Jesličky,48145262,"Divadlo získalo svůj název díky svému sídlu v bývalé budově jeslí. V budouvě působí Divadlo Jesličky Josefa Tejkla, které vzniklo jako stálá scéna ZUŠ Střezina v roce 1991.",divadlo,"Klub přátel Divadla Jesličky, z.s.",120,ANO,tělesně postižené,Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Třebechovická,836,č.p.,3,50003,https://www.divadlojeslicky.cz/,+420495408418,"
info@strezina.cz",POINT(50.2150589 15.8548014),15.8548014,50.2150589,DIVFILH8,8,1764948.41847649,6483603.89268529
Filharmonie Hradec Králové,27504247,"Budova Filharmonie vznikla v letech 1929-1930 jako součást Sokolovny podle návrhu architekta Milana Babušky. Dříve sloužil sál jako kino, později byl upraven pro účinkování hudebníků. V roce 2005 došlo k významné rekonstrukci budovy a byly zde postaveny nové varhany. V budově sídlí Filharmonie Hradec Králové. ",filharmonie + hudba,"Město Hradec Králové, Královéhradecký kraj",500,ANO,tělesně postižené,Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Eliščino nábřeží,777,č.p.,5,50003,http://www.fhk.cz,+420495211375,fhk@fhk.cz,POINT(50.2138117 15.8291964),15.8291964,50.2138117,DIVFILH9,9,1762098.08291473,6483386.93039031
Hankův dům,13583051,Hankův dům je neorenesanční budova v historickém centru Dvora Králové nad Labem. Objekt byl vybudován v letech 1867–73 jako městské divadlo a v současnosti je jeho funkce multifunkční.,multifunkční prostor,Město Dvůr Králové nad Labem,420,ANO,tělesně postižené,Královehradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Dvůr Králové nad Labem,579203,Náměstí Václava Hanky,299,č.p.,,54401,http://www.hankuv-dum.cz,+420499318355,mannova@hankuv-dum.cz,POINT(50.430985 15.8119211),15.8119211,50.430985,DIVFILH10,10,1760175.00531543,6521252.12629677
