Název,IČO,Provozovatel,Popis,Typ provozu,Kapacita,Doplňující informace ke kapacitě,Bezbariérovost,Doplňující informace k bezbariérovosti,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Název okresu,Kód okresu dle číselníku ČSÚ,Název správního obvodu obce s rozšířenou působností,Kód správního obvodu obce s rozšířenou působností dle číselníku ČSÚ,Název obce,Kód obce dle číselníku ČSÚ,Název ulice,Číslo popisné nebo evidenční podle typu čísla domovního,Typ čísla domovního,Číslo orientační,PSČ, Webové stránky,Zápis vektorové geometrie,Zeměpisná délka v souřadnicovém systému WGS84,Zeměpisná šířka v souřadnicovém systému WGS84,Jedinečný identifikátor v katalogu otevřených dat Data KHK,ID,x2,y2
AC klub,25954881,Ivan Škaloud,"Výhradně nekuřácký klub je multikulturním prostorem, který se věnuje širokému spektru hudebních a kulturních akcí.",hudební klub,250,100 na sezení a 150 na stání,ne,,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Zámostí ,684,cp,1,50009,http://www.acklubhk.cz,POINT(50.2069731 15.8502192),15.8502192,50.2069731,HKFP1,1,1764438.3303,6482197.3917
Bastion No.35,22883649,Spolek Bastion no.35,Provoz hudebního klubu. Pořádání koncertů a dalších kulturních akcí. ,hudební klub,350,,ne,,Královéhradecký kraj,CZ052,Náchod,CZ0523,Jaroměř,5206,Jaroměř,574121,5. května,287,cp,,55102,www.bastion35.cz,POINT(50.3437486 15.9257703),15.9257703,50.3437486,HKFP2,2,1772848.6403,6506021.2468
Beaver Club,17582831,bobrinastyle s.r.o.,"Music bar v centru Hradce Králové. Pořádání koncertů, stand up a provoz restaurace.",hudební klub,50,"50 míst k sezení v klubu, 50 míst k sezení v restauraci.",ne,"bezbariérový přístup je do 1. patra (kavárna), v tomto patře není toaleta",Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5202,Hradec Králové,569810,Československé armády ,275,cp,21,50002,beaverclub.cz,POINT(50.2103981 15.829605),15.829605,50.2103981,HKFP3,3,1762143.5681,6482793.1312
Black Hill bar,63221462,"W - TREND, v.o.s.","Pořádání koncertů, kulturních představení a dalších akcí. ",hudební klub,95,75 míst na sezení a 20 míst na stání,ano,bezbariérová toaleta,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Janské lázně,579351,náměstí Svobody,274,cp,,54225,https://www.facebook.com/p/Black-Hill-music-bar-100063692105332/,POINT(50.6302564 15.7802122),15.7802122,50.6302564,HKFP4,4,1756645.1867,6556149.1378
Bojiště Trutnov,06595103 ,Bojiště s.r.o.,"Prostor pro pořádání pořádání kulturních, společenských či sportovních akcí. Areál je víceúrovňový prostor o ploše cca 27500 m2, jehož hlavní část tvoří zelený park s přírodním amfiteátrem. Celý areál je oplocený a nabízí možnost parkování. V případě Backstage se jedná o samostatně ohraničený prostor za plátnem, zahrnující kiosek se zastřešenou zahrádkou, venkovní grily, sociální zařízení, sprchy a zázemí.",festival park,1256,1256 míst k sezení,částečně,Areál je částečně bezbariérový. Na větších akcích jsou přistaveny bezbariérové mobilní toalety. S rekonstrukcí kancelářské budovy je plánováno vybudovat i klasické bezbariérové toalety. ,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Trutnov,579025,Královédvorská,536,cp,,54101,https://www.bojistetrutnov.cz/,POINT(50.5529903 15.9070033),15.9070033,50.5529903,HKFP5,5,1770759.5074,6542600.5612
Club La Fabrique,"
03210146","Bombarda, s.r.o.",Klub v prostorách bývalé Pilňáčkovy továrny. ,hudební klub,300,kombinace míst na sezení a na stání,ne,,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Pospíšilova ,281,cp,,50003,http://www.lafabrique.cz,POINT(50.2145319 15.8452025),15.8452025,50.2145319,HKFP6,6,1763879.8738,6483512.2153
Event Bar DoSklepa,02197014,Jan Hable,"Pořádání koncertů, oslav a párty. ",hudební klub,200,,ne,,Královéhradecký kraj,CZ052,Náchod,CZ0523,Nové Město nad Mětují,5211,Nové Město,574279,Malecí,205,cp,,54901,https://do-sklepa.cz/,POINT(50.3564039 16.1473439),16.1473439,50.3564039,HKFP7,7,1797514.1006,6508229.0392
Hudební Klub Lucie,"65672704
",Denisa Schmoranzová,"Jeden z prvních country clubů v Čechách v prostorách bývalého kina a pohostinství s pravidelnou hudební produkcí všech žánrů, ale i divadelních a jiných představení. Známý též pod názvem Country club Lucie.",hudební klub,300,130 míst k sezení nebo přes 300 míst k stání,ano,není bezbariérová toaleta,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Národních mučedníků,209,cp,,50008,http://www.cclucie.cz,POINT(50.1755139 15.8535172),15.8535172,50.1755139,HKFP8,8,1764805.462,6476727.4229
Hudební klub Top Ten Rock,08363072,Marcela Tafilová,"Hudební klub pořádá tematické hudební večery, koncerty, taneční večery, hudbu k tanci i k posezení. ",hudební klub,100,Z toho 40 míst na sezení.,ne,Tři schody u vstupu. Pět schodů na toaletu.,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové,5203,Dvůr Králové,579203,Palackého,89,cp,,54401,https://hudebni-klub-top-ten-rock.webnode.cz/,POINT(50.4323622 15.8131997),15.8131997,50.4323622,HKFP9,9,1760317.3384,6521492.8009
KlonDike music club,01298691,Michaela Boudová,"Multižánrově zaměřený hudební klub a kulturně-sportovní prostor v centru Pece pod Sněžkou. Pořádá koncerty, divadelní či filmové festivaly, herní a sportovní akce v prostorách klubu i jeho okolí.",hudební klub,500,,ne,,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Pec pod Sněžkou,579581,Pec pod Sněžkou,139,cp,,54221,http://www.klondikeklub.cz,POINT(50.6957847 15.7377636),15.7377636,50.6957847,HKFP10,10,1751919.8302,6567656.957
Klub Na výstavišti,"
10471448",Jaroslav Kopecký,Soukromý klub s velkou zahradou v chovatelském areálu na Slezském Předměstí v Hradci Králové.,hudební klub,300,,ano,,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Bratří Štefanů,3,cp,45,50003,https://www.facebook.com/navystavisti/?locale=cs_CZ,POINT(50.2150294 15.8643883),15.8643883,50.2150294,HKFP11,11,1766015.6273,6483598.7608
Klub čp. 4,05015065,Karolína Mouchová,Provoz soukromého hudebního klubu.,hudební klub,100,,ne,,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Velké náměstí,145,cp,14,50003,http://klubctyrka.cz/www/,POINT(50.2097306 15.8332611),15.8332611,50.2097306,HKFP12,12,1762550.5632,6482677.0239
