Název,Provozovatel,IČO,Bezbariérovost,Poznámka k bezbariérovosti,Typ kina,Počet sálů,Kapacita,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Název okresu,Kód okresu dle číselníku ČSÚ,Název správního obvodu obce s rozšířenou působností,Kód správního obvodu obce s rozšířenou působností dle číselníku ČSÚ,Název obce,Kód obce dle číselníku ČSÚ,Název ulice,Číslo popisné nebo evidenční podle typu čísla domovního,Typ čísla domovního,Číslo orientační,PSČ,Webové stránky,Zápis vektorové geometrie,Zeměpisná délka v souřadnicovém systému WGS84,Zeměpisná šířka v souřadnicovém systému WGS84,Jedinečný identifikátor v katalogu otevřených dat Data KHK,ID,x2,y2
3D kino Luník,Městské kulturní středisko,00188557,ANO,bezbariérové WC,kino se stálým provozem,1,220,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Červený Kostelec,573965,Manželů Burdychových,367,č.p.,,549 41    ,http://www.kinolunik.cz/,POINT(50.4726 16.0954),16.0954,50.4726,KINA1,1,1791731.73211406,6528527.70810561
Bio Central,Centrální kino s.r.o.,28856376,ČÁSTEČNĚ,"prostory baru a velkého sálu i toaleta jsou bezbariérové, malý sál ne ",kino se stálým provozem,2,411,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Karla IV.,774,č.p.,,500 02    ,https://www.biocentral.cz/,POINT(50.2142 15.8228),15.8228,50.2142,KINA2,2,1761386.03892381,6483454.47825822
Biograf Český Ráj,Kulturní zařízení města Jičína,13584430,ANO,"bezbariérové WC, balkon není bezbariérový",kino se stálým provozem,1,153,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Jičín,572659,17. listopadu,47,č.p.,,506 01    ,https://kzmj.cz/,POINT(50.4346 15.3515),15.3515,50.4346,KINA3,3,1708921.16291294,6521883.88574352
Biograf Na Špici,"Tesora Group, s.r.o.",28851501,NE,"pouze vstup do sálu by byl možný bezbariérově prostřednictvím nouzového východu, všechny ostatní části kina nejsou bezbariérové",kino se stálým provozem,1,300,Královéhradecký kraj,CZ052,Jičín,CZ0522,Hořice,5204,Hořice,572926,Husova,1560,č.p.,,508 01    ,http://www.biografnaspici.cz/,POINT(50.3637 15.6319),15.6319,50.3637,KINA4,4,1740135.14813138,6509502.15479663
CineStar Hradec Králové,CineStar s.r.o.,26435675,ANO,bezbariérové WC,multikino se stálým provozem,8,1595,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Brněnská,1825,č.p.,,500 02    ,https://www.cinestar.cz/cz/hradec,POINT(50.1970 15.8476),15.8476,50.197,KINA5,5,1764146.76229549,6480462.92865634
Digitální Kino,Město Rtyně v Podkrkonoší,00278238,ANO,bezbariérové WC,kino s nepravidelným provozem,1,149,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Rtyně v Podkrkonoší,579637,Kostelecká,165,č.p.,,542 33    ,https://www.rtyne.cz/,POINT(50.5040 16.0720),16.072,50.504,KINA6,6,1789126.8560295,6534021.6339709
Divadlo Jaroměř Kinoklub,Městské kulturní středisko Jaroměř,13585185,ANO,bezbariérové WC,kino s nepravidelným provozem,1,399,Královéhradecký kraj,CZ052,Náchod,CZ0523,Jaroměř,5206,Jaroměř,574121,Náměstí Dukelských hrdinů,240,č.p.,,551 01    ,http://www.divadlojaromer.cz/,POINT(50.3527 15.9184),15.9184,50.3527,KINA7,7,1772028.18224365,6507582.8109405
Galerie výtvarného umění v Náchodě,Galerie výtvarného umění v Náchodě,00371041,ČÁSTEČNĚ,"galerie je bezbariérová s asistencí druhé osoby (těžké dřevěné dveře, sklon a délka rampy), bezbariérové WC pouze s pomocí druhé osoby při vjezdu/výjezdu - dveře nejsou kolmo, ale šikmo",kino s nepravidelným provozem,0,30,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Náchod,573868,Smiřických,272,č.p.,,547 33    ,https://www.gvun.cz/,POINT(50.4198 16.1607),16.1607,50.4198,KINA8,8,1799000.89486286,6519297.73481377
Jiráskovo divadlo,Město Nový Bydžov,00269247,ANO,bezbariérové WC,kino se stálým provozem,1,237,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Nový Bydžov,5212,Nový Bydžov,570508,A. Jiráska,562,č.p.,,504 01    ,https://www.novybydzov.cz/divadlo.asp,POINT(50.2390 15.4924),15.4924,50.239,KINA9,9,1724606.07916571,6487769.77443539
Kino 70,Město Dobruška,00274879,ANO,bezbariérové WC,kino se stálým provozem,1,310,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Dobruška,5202,Dobruška,576271,Boženy Němcové 720,70,č.p.,,518 01    ,http://www.kino.mestodobruska.cz/,POINT(50.2904 16.1596),16.1596,50.2904,KINA10,10,1798878.44342299,6496720.72734853
