Název,IČO,Evidenční číslo,Zřizovatel,Typ knihovny,Bezbariérovost,Střediskovost,Právní forma,Počet poboček,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Název okresu,Kód okresu dle číselníku ČSÚ,Název správního obvodu obce s rozšířenou působností,Kód správního obvodu obce s rozšířenou působností dle číselníku ČSÚ,Název obce,Kód obce dle číselníku ČSÚ,Název ulice,Číslo popisné nebo evidenční podle typu čísla domovního,Typ čísla domovního,Číslo orientační,PSČ,Webové stránky,Zápis vektorové geometrie,Zeměpisná délka v souřadnicovém systému WGS84,Zeměpisná šířka v souřadnicovém systému WGS84,Jedinečný identifikátor v katalogu otevřených dat Data KHK,ID,x2,y2
Biskupská knihovna Biskupství královéhradeckého,00445134,6331,Biskupství královéhradeckého,církevní/farní,,ne,,,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Velké náměstí,35,č.p.,44,50003,https://www.bihk.cz/vzdelani-media/biskupska-knihovna,POINT(50.2087 15.8325),15.8325,50.2087,KNIH1,1,1762465.83798451,6482497.76083684
Heldova městská knihovna Třebechovice pod Orebem,45981094,1803/2002,Město Třebechovice pod Orebem,profesionální (knihovna s pracovním úvazkem knihovníka vyšším než 15 hodin týdně),ne,ne,organizační složka obce,,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Třebechovice pod Orebem,571041,Komenského,437,č.p.,,50346,https://hmk.webk.cz/,POINT(50.2000 15.9956),15.9956,50.2,KNIH2,2,1780622.0469329,6480984.63295101
Internet - knihovna Deštné v Orlických horách,00274844,231,Obec Deštné v Orlických horách,neprofesionální (knihovna s prac. úvazkem knihovníka max 15 hodin týdně),ne,ne,organizační složka obce,,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Dobruška,5202,Deštné v Orlických horách,576247,Deštné v Orlických horách,61,č.p.,,51791,https://www.obec-destne.cz/obec/internetova-knihovna/knihovna/,POINT(50.3059 16.3496),16.3496,50.3059,KNIH3,3,1820029.14667371,6499421.84186634
Klášterní knihovna Broumov,48648884,6568,Benediktinské opatství sv. Václava v Broumově,církevní/farní,,ne,,,Královéhradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Broumov,573922,Klášterní,1,č.p.,,55001,https://www.klasterbroumov.cz/prohlidky/virtualni-prohlidky/klasterni-knihovna,POINT(50.5862 16.3342),16.3342,50.5862,KNIH4,4,1818314.8265155,6548421.14295094
Knihovna Břetislava Kafky Červený Kostelec,00857416,2848,Město Červený Kostelec,profesionální (knihovna s pracovním úvazkem knihovníka vyšším než 15 hodin týdně),ano,ano,příspěvková organizace obce,7,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Červený Kostelec,573965,Sokolská,293,č.p.,,54941,www.knihovnack.cz,POINT(50.4735 16.0913),16.0913,50.4735,KNIH5,5,1791275.32220181,6528685.12650983
"Knihovna Břetislava Kafky Červený Kostelec, pobočka Bohdašín",00857416,2848,Město Červený Kostelec,"pobočka (organizační část knihovny, lokálně vyčleněná, ale pod přímým vedením ústřední knihovny)",,ne,příspěvková organizace obce,,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Červený Kostelec,573965,Bohdašín,83,č.p.,,54941,www.knihovnack.cz,POINT(50.3393 16.2262),16.2262,50.3393,KNIH6,6,1806292.32150982,6505245.30184708
"Knihovna Břetislava Kafky Červený Kostelec, pobočka Červená Hora",00857416,2848,Město Červený Kostelec,"pobočka (organizační část knihovny, lokálně vyčleněná, ale pod přímým vedením ústřední knihovny)",,ne,příspěvková organizace obce,,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Červená Hora,505099,Červená Hora,58,č.p.,,54941,www.knihovnack.cz,POINT(50.4480 16.0585),16.0585,50.448,KNIH7,7,1787624.04290379,6524226.09826067
"Knihovna Břetislava Kafky Červený Kostelec, pobočka Horní Radechová",00857416,2848,Město Červený Kostelec,"pobočka (organizační část knihovny, lokálně vyčleněná, ale pod přímým vedením ústřední knihovny)",,ne,příspěvková organizace obce,,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Horní Radechová,574066,Horní Radechová,196,č.p.,,54946,www.knihovnack.cz,POINT(50.4658 16.1462),16.1462,50.4658,KNIH8,8,1797386.76224636,6527338.42145268
"Knihovna Břetislava Kafky Červený Kostelec, pobočka Horní Rybníky",00857416,2848,Město Červený Kostelec,"pobočka (organizační část knihovny, lokálně vyčleněná, ale pod přímým vedením ústřední knihovny)",,ne,příspěvková organizace obce,,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Zábrodí,574651,Horní Rybníky,35,č.p.,,54946,www.knihovnack.cz,POINT(50.4531 16.1324),16.1324,50.4531,KNIH9,9,1795850.55327342,6525117.71161265
"Knihovna Břetislava Kafky Červený Kostelec, pobočka Slatina nad Úpou",00857416,2848,Město Červený Kostelec,"pobočka (organizační část knihovny, lokálně vyčleněná, ale pod přímým vedením ústřední knihovny)",,ne,příspěvková organizace obce,,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Slatina nad Úpou,574422,Slatina nad Úpou,65,č.p.,,54947,http://www.slatinanadupou.cz/obec-slatina-nad-upou/obecni-knihovna/,"POINT(50,4540 16,0388)",16.0388,50.454,KNIH10,10,1785431.04893516,6525275.06512253
