Název,Region,Primární zatřídění,Sekundární zatřídění,Terciální zatřídění,Popis,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Název okresu,Kód okresu dle číselníku ČSÚ,Název správního obvodu obce s rozšířenou působností,Kód správního obvodu obce s rozšířenou působností dle číselníku ČSÚ,Název obce,Kód obce dle číselníku ČSÚ,Název ulice,Číslo popisné nebo evidenční podle typu čísla domovního,Typ čísla domovního,Číslo orientační,PSČ,Webové stránky,Telefon č. 1,Telefon č. 2,Mobil č. 1,Mobil č. 2,Fax,Email č. 1,Email č. 2,Zápis vektorové geometrie,Zeměpisná délka v souřadnicovém systému WGS84,Zeměpisná šířka v souřadnicovém systému WGS84,Jedinečný identifikátor v katalogu otevřených dat Data KHK,ID,x2,y2
Aeroklub Dvůr Králové nad Labem,Dvůr Králové nad Labem / Podkrkonoší,Sport a relaxace / Letecké sporty,,,"Historie létání ve Dvoře Králové nad Labem sahá do začátku minulého století. Detailní popis počátků a vývoje létání ve Dvoře Králové nad Labem naleznete na www.akdk.cz. V současné době zde mimo jiné naleznete leteckou školu, která se věnuje jak plachtařskému výcviku, tak i motorovému (získání licence PPL). O víkendech letiště nabízí vyhlídkové lety nad Krkonošemi, Adršpachem, Krkonošemi - Českým rájem, nad zámky, v okolí Dvora Králové nad Labem a dalšími. 
 ",Královehradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Dvůr Králové nad Labem,579203,Letiště Žireč,152,č.p.,,54404,www.akdk.cz,420 499 622 602,,,,,letiste@akdk.cz,,POINT(50.41423806 15.83705694),15.83705694,50.41423806,LS1,1,1762973.1142,6518326.0507
Aeroklub Hořice,Ostroměř / Podkrkonoší,Sport a relaxace / Letecké sporty,,,"Detailní popis historie hořického létání naleznete na www.lkhc.cz.  
 Letiště nabízí zájemcům ""foto lety"" o víkendech. Pro zajištění Vašeho maximálního bezpečí a příjemného zážitku je pochopitelně podmínkou vhodné letové počasí. O vhodnosti počasí a dostupnosti letadel se doporučujeme před odjezdem na letiště informovat na tel. čísle: 604931482. Trasu letu lze individuálně dohodnout přímo s pilotem, a to před startem.  
 Letiště nabízí výcvik pilota kluzáku (GLD - větroně) i motorových letounů (PPL licence).  
 ",Královehradecký kraj,CZ052,Jičín,CZ0522,Hořice,5204,Hořice,572926,Letiště,,,,50752,www.lkhc.cz, ,,420604931482,,420493691116,aeroklub@lkhc.cz,,POINT(50.35721889 15.57666389),15.57666389,50.35721889,LS2,2,1733986.2925,6508371.2393
Aeroklub Nové Město nad Metují,Nové Město nad Metují / Kladské pomezí,Sport a relaxace / Letecké sporty,,,"Je však také možné zaletět o kus dál a poznat z ptačí perspektivy Krkonoše a Orlické hory. Pro ty, kteří nechtějí být pouze pasažéry, nabízí aeroklub ojedinělou příležitost pilotovat pod dohledem zkušeného instruktora bezmotorové letadlo nebo motorový větroň. Zájemci dávající přednost barevnému vrchlíku padáku mohou využít tandemový seskok nebo absolvovat základní výcvik v seskoku padákem. 
 Speciální nabídka: tandemové seskoky, základní výcvik v seskoku, padákem, letecký výcvik, pilot na zkoušku 
 ",Královehradecký kraj,CZ052,Náchod,CZ0523,Nové Město nad Mětují,5211,Nové Město nad Metují,574279,Nahořanská,483,č.p.,,54901,http://aknm.cz/,420 491 474 424,,,,,info@aknm.cz,aeroklub.novemesto@worldonline.cz,POINT(50.35465472 16.14977167),16.14977167,50.35465472,LS3,3,1797784.3587,6507923.8493
"DSA – Letiště, Hradec Králové",Hradec Králové / Hradecko,Sport a relaxace / Letecké sporty,,,"Z domovského letiště v Hradci Králové provádí společnost vyhlídkové lety po celé oblasti východních Čech. Trasy letů jsou přizpůsobovány požadavkům klientů. Piloti DSA jsou k dispozici 7 dní v týdnu od ranních do večerních hodin.  
  Speciální nabídka: letecká záchranná služba, aerotaxi, letecká škola, servisní středisko 
 ",Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Letiště,,,,50341,www.dsa.cz,420 495 407 406,420495407407,,,420495407408,office@dsa.cz,,POINT(50.24416667 15.84415444),15.84415444,50.24416667,LS4,4,1763763.2043,6488669.0776
"FLY FOR FUN, Hradec Králové",Hradec Králové / Hradecko,Sport a relaxace / Letecké sporty,,,"Ve strojovém parku naleznete letadla a vrtulníky, které jsou nejvhodnější pro provádění pilotního výcviku, i dalších leteckých služeb, jenom letadlový park čítá celkem 12 strojů. 
 Domovským letištěm je letiště Sazená (ICAO kód LKSZ), létá se i na letišti Hradec Králové (ICAO kód LKHK). 
 Součástí nabídky společnosti FLY FOR FUN jsou také vyhlídkové lety jak letadlem, tak i vrtulníkem, které jsou skvělým dárkem a nezapomenutelným zážitkem. 
 V nabídce jsou i fotografické a pozorovací lety, pronájmy letadel a vrtulníků bez pilota, i s pilotem. 
 Mezi letecké instruktory patří bývalí piloti stíhacích letounů či piloti záchranných služeb. 
 ",Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Letiště,98,č.p.,,50341,www.flyforfun.cz, ,,420724327922,420603154232,,hradec@flyforfun.cz,,POINT(50.25333333 15.84527778),15.84527778,50.25333333,LS5,5,1763888.2539,6490264.8532
Letecká škola Vrchlabí,Vrchlabí / Krkonoše,Sport a relaxace / Letecké sporty,,,"Letecká škola ve Vrchlabí provádí teoretickou i praktickou výuku motorového a bezmotorového létání. Přeškoluje na různé typy letadel. Zároveň nabízí možnost vyhlídkových letů nad celými Krkonošemi.  
 Letiště se nachází vedle hlavního tahu z Vrchlabí na Trutnov/Lánov.  
 ",Královehradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Vrchlabí,579858,Lánov,172,č.p.,,54301,www.letistevrchlabi.cz,,,420608970772,420773031317,,info@lkvr.cz,,POINT(50.63217333 15.66080417),15.66080417,50.63217333,LS6,6,1743352.7456,6556485.5535
Letecké služby Hradec Králové,Hradec Králové / Hradecko,Sport a relaxace / Letecké sporty,,,"Letiště Hradec Králové zprostředkovává vyhlídkové lety v jednomotorových vrtulových letadlech, dvoumotorových vrtulových letadlech a proudových letadlech. Pro odvážlivce jsou připraveny také seskoky z padáku.  
  Speciální nabídka: aerotaxi, pilotní licence, tandemové seskoky, sólo seskoky, letecké snímkování a mapování   
 ",Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Letiště,98,č.p.,,50341,www.lshk.cz,420 491 619 011,420491041039,,,,office@lshk.cz,,POINT(50.24433444 15.84613861),15.84613861,50.24433444,LS7,7,1763984.0811,6488698.281
Letiště Broumov,Broumov / Broumovsko,Sport a relaxace / Letecké sporty,,,"Letiště nabízí vyhlídkové lety nad Broumovskem z motorového letadla nebo kluzáku. Let je dobré si předem objednat. Aeroklub Broumov navíc umožňuje v letních měsících možnost seznámit se s výcvikem pro získání kvalifikace pilot kluzáku. 
 Speciální nabídka: kurz pro létání na větroních 
 Veřejné vnitrostátní letiště Broumov-Martínkovice LKBR  se nachází asi 2,5 km jižně od centra Broumova, při silnici Broumov-Martínkovice, v katastru obce Martínkovice.AFIS (Letištní informační a pohotovostní služba) je poskytována od 1.dubna do 30.září o sobotách, nedělích a svátcích a to od 9 do 16 hodin ( 7-14 UT). 
 ",Královehradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Broumov,573922,,,,,55001,http://airbroumov.eu/, ,,420728227042,,,info@airbroumov.eu,,POINT(50.56194194 16.34277500),16.342775,50.56194194,LS8,8,1819269.3911,6544169.0891
"Letiště Jaroměř – Josefov, Jaroměř",Jaroměř / Kladské pomezí,Sport a relaxace / Letecké sporty,Ubytování a stravování / Turistické chaty a ubytovny,,"Dále pronajímá benzínovou stanici v areálu letiště a část hangáru samostatným podnikatelským subjektům. Od roku 1995 je letiště Jaroměř - Josefov uznané Úřadem pro civilní letectví České republiky veřejným vnitrostátním letištěm.Současnou prioritou Aeroklubu Jaroměř je udržet a rozvíjet sportovní a rekreační létání jak na místní, tak celorepublikové úrovni. Kromě různých akcí, jako například Josefovské drakiády či Dětského dne, provozuje aeroklub ještě veřejnou ubytovnu, která je otevřena od jara do podzimu. Mezi další projekty aeroklubu patří začlenění se do společenského života Josefova a Jaroměře, už jen proto, že letiště je nedílnou součástí každého kultivovaného a rozvíjejícího se města.  
 
V letních měsících je možné využít i ubytování. 
 ",Královehradecký kraj,CZ052,Náchod,CZ0523,Jaroměř,5206,Jaroměř,574121,Novoměstská,361,č.p.,,55102,www.lkja.cz,420 702 075 020,,,,,aeroklub@lkja.cz,,POINT(50.33138611 15.95388611),15.95388611,50.33138611,LS9,9,1775978.4779,6503865.1048
Letiště Jičín - Vokšice,Jičín / Český ráj,Sport a relaxace / Letecké sporty,Bez bariér / Služby,,"Směry drah: 12/30, 263m. n. m. 
 Komunikační frekvence: INFO 118,075 
 Letiště Vokšice nabízí vyhlídkové lety dle vlastního výběru. Obvyklé trasy jsou zaměřeny na hrady, zámky či přírodu Českého ráje.  
 Zvolit si můžete různě dlouhé trasy obsahující turisticky známá místa. Trasu letu si můžete určit i vlastní. Letadla typu CESSNA 172 jsou určena pro tři cestující. Roli nehraje věk ani jiná omezení, možno i pro vozíčkáře. 
 Vyhlídkové lety vždy po předchozí telefonické objednávce. 
 ",Královehradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Jičín,572659,,,,,50601,www.tec-air.cz, ,,420602464970,,420493522680,tec-air@cmail.cz,tec-air@tec-air.cz,POINT(50.42999694 15.33305306),15.33305306,50.42999694,LS10,10,1706867.6589,6521079.4608
