Název,IČO,Zřizovatel,Bezbariérovost,Poznámka k bezbariérovosti,Typ muzea,Zaměření muzea,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Název okresu,Kód okresu dle číselníku ČSÚ,Název správního obvodu obce s rozšířenou působností,Kód správního obvodu obce s rozšířenou působností dle číselníku ČSÚ,Název obce,Kód obce dle číselníku ČSÚ,Název ulice,Číslo popisné nebo evidenční podle typu čísla domovního,Typ čísla domovního,Číslo orientační,PSČ,Webové stránky,Zápis vektorové geometrie,Zeměpisná délka v souřadnicovém systému WGS84,Zeměpisná šířka v souřadnicovém systému WGS84,Jedinečný identifikátor v katalogu otevřených dat Data KHK,Jedinečný identifikátor v datovém skladu Turistického portálu KHK,ID,x2,y2
Archeologické muzeum v přírodě Villa Nova Uhřínov,60884037,Villa Nova Uhřínov - středisko experimentální archeologie a regionálních dějin,částečně,bezbariérové WC ne,archeologické,expozice se snaží přiblížit středověkou kolonizační vesnici,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Liberk,576450,Uhřínov,15,č.p.,,51601,https://www.villanova.cz/,POINT(50.2509742 16.3503822),16.3503822,50.2509742,MG1,4080,1,1820116.22077941,6489854.13533287
Archeopark pravěku Všestary,28852800,"Archeopark Všestary, o.p.s.",ano,bezbariérové WC ano,archeologické,"expozice věnovaná životu v pravěku, ukázky pravěkých staveb a pravěkého pohřebiště s mohylami",Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Všestary,571091,Všestary,238,č.p.,,50312,https://archeoparkvsestary.cz/,POINT(50.258865 15.7612464),15.7612464,50.258865,MG2,4160,2,1754533.92351532,6491227.98105689
Autíčkové muzeum,08548714,Eduard Pařízek,ne,bezbariérové WC ne,jiné,"modely aut z celého světa - modely amerických automobilů, policejních automobilů a požárních vozů",Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Kostelec nad Orlicí,5208,Týniště nad Orlicí,576859,Smetanova,395,č.p.,,51721,https://autickovemuzeum.webnode.cz/,POINT(50.1479733 16.0777286),16.0777286,50.1479733,MG3,4149,3,1789764.56086446,6471941.75665471
Běloveský pevnostní skanzen - Pěchotní srub N-S 81 Lom,48621676,"Klub vojenské historie Náchod, z.s.",ne,bezbariérové WC ne,vojenské,expozice zahrnuje objekty československého opevnění z let 1935-38,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Náchod,573868,U Lomu,,,,54701,http://www.brezinka.cz/,POINT(50.4133897 16.1999803),16.1999803,50.4133897,MG4,4090,4,1803373.55785707,6518177.85025268
Běloveský pevnostní skanzen - Pěchotní srub N-S 82 Březinka,48621676,"Klub vojenské historie Náchod, z.s.",ne,bezbariérové WC ne,vojenské,expozice zahrnuje objekty československého opevnění z let 1935-38,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Náchod,573868,U Lomu,,,,54701,http://www.brezinka.cz/,POINT(50.4154661 16.1980125),16.1980125,50.4154661,MG5,4089,5,1803154.50336309,6518540.58240798
Běloveský pevnostní skanzen - Pěchotní srub N-S 84 Voda,48621676,"Klub vojenské historie Náchod, z.s.",částečně,bezbariérové WC ne,vojenské,expozice zahrnuje objekty československého opevnění z let 1935-38,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Náchod,573868,Kapitána Jaroše,,,,54701,http://www.brezinka.cz/,POINT(50.4216667 16.1900833),16.1900833,50.4216667,MG6,4091,6,1802271.82885669,6519623.87729685
Cyklomuzeum Žireč,69861510,Romana Dostálová,částečně,Komentované prohlídky a první patro přístupné bezbariérově. Není bezbariérová toaleta.,historické,expozice historických kol,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Dvůr Králové nad Labem,579203,Žireč,166,č.p.,,54401,https://www.arealzirec.cz/,POINT(50.4152961 15.8514858),15.8514858,50.4152961,MG7,4027,7,1764579.32757281,6518510.88403236
Čapkův mlýn – Stará papírna,00084930,Královéhradecký kraj,částečně,bezbariérové WC ano,historické,"Expozice je zaměřena na dětství sourozenců Čapkových, kteří do mlýna jezdili k babičce a dědečkovi a zdejší prostředí se jim stalo inspirací pro řadu pohádek, jež v dospělosti napsali.",Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Hronov,574082,Jungmanova,107,č.p.,,54931,https://muzeumnachod.cz/cakuv-mlyn-stara-papirna/,POINT(50.48334179 16.181284),16.181284,50.48334179,MG8,4168,8,1801292.29526135,6530406.74308641
České farmaceutické muzeum,00216208,Univerzita Karlova - Farmaceutická fakulta,ano,bezbariérové WC ano,farmaceutické,expozice historie lékáren - vývoj lékárenství a dalších odvětví farmacie; expozice historie výroby léků,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Kuks,579416,Kuks ,81,č.p.,,54443,https://www.ceska-apatyka.cz/,POINT(50.3978581 15.8902681),15.8902681,50.3978581,MG9,4075,9,1768896.55346061,6515465.09543609
Depozitář Muzea Náchodska,00084930,Královéhradecký kraj,nezjištěno,,jiné,,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Náchod,573868,Kladská ,733,č.p.,,54701,https://muzeumnachod.cz/,POINT(50.4189378 16.1723286),16.1723286,50.4189378,MG10,4095,10,1800295.3846935,6519147.09895986
Depozitář Muzea východních Čech,00088382,Královéhradecký kraj,nezjištěno,,obecné,,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Stěžery,570931,Lipová,56,č.p.,,50321,https://www.muzeumhk.cz/,POINT(50.2127403 15.7536394),15.7536394,50.2127403,MG11,4135,11,1753687.11614886,6483200.5547048
"Depozitář Muzea východních Čech, Gayerova kasárna",00088382,Královéhradecký kraj,ano,bezbariérové WC ano,obecné,"v depozitářích se nachází 2,5 milionu sbírkových předmětů",Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Opletalova,334,č.p.,2,50001,https://www.muzeumhk.cz/,POINT(50.2129822 15.8342839),15.8342839,50.2129822,MG12,4043,12,1762664.42082414,6483242.63412093
Domek Boženy Němcové,00188557,Městské kulturní středisko v Červeném Kostelci,částečně,Schodek před vchodem.,historické,"expozice připomínající krátký pobyt spisovatelky Boženy Němcové v Červeném Kostelci od podzimu 1837 do dubna 1838, sezónní miniexpozice věnovaná konkrétnímu tématu souvisejícímu s Červeným Kostelcem a jeho historií",Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Červený Kostelec,573965,Boženy Němcové,127,č.p.,,54941,https://www.cervenykostelec.cz/budovy-a-verejne-prostory/domek-bozeny-nemcove,POINT(50.4767267 16.0941681),16.0941681,50.4767267,MG13,4011,13,1791594.59763335,6529249.53110461
Expozice textilního tisku,00023442,Uměleckoprůmyslové muzeum v Praze,částečně,"Přístup do expozice a samotná expozice jsou bezbariérové.
Expozice se nachází v přízemí budovy. U expozice nejsou bezbariérové toalety.",technické,expozice věnovaná textilnímu tisku,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Dvůr Králové nad Labem,579203,Nábřeží Jiřího Wolkera,132,č.p.,,54401,https://www.muzeumdk.cz/,POINT(50.4329817 15.8108517),15.8108517,50.4329817,MG14,4028,14,1760055.96025197,6521601.06475547
Expozice výroby železa,00275387,Obec Skuhrov nad Bělou,ne,bezbariérové WC ne,průmyslové,"expozice obsahuje sbírku výrobků, které byly vyrobeny ve firmě J. Porkert",Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Skuhrov nad Bělou,576778,Skuhrov nad Bělou,84,č.p.,,51703,https://www.skuhrov.cz/turisticke-informacni-centrum,POINT(50.2291289 16.2920911),16.2920911,50.2291289,MG15,4130,15,1813627.28520963,6486051.89591194
Františkánský klášter Hostinné - Městské muzeum a Galerie antického umění,00277908,Město Hostinné,ano,Klášter je plně dostupný pro tělesně handicapované.,umělecké,expozice vývoje města Hostinné od doby kolonizace Podkrkonoší počátkem 13. století až do roku 1948; kolekce ručně vyřezávaných včelích úlů; soubor sádrových odlitků řeckých a římských plastik - vývoj antického sochařství od konce 7. století př. n. l. do 3,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Hostinné,579297,Nádražní,119,č.p.,,54371,www.klasterhostinne.cz,POINT(50.5399619 15.7280325),15.7280325,50.5399619,MG16,4037,16,1750836.56908006,6540318.22576947
