Název,Předmět ochrany památkové péče,IČO,Právní forma,Rejstříkové číslo v Ústředním seznamu kulturních památek,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Název okresu,Kód okresu dle číselníku ČSÚ,Název správního obvodu obce s rozšířenou působností,Kód správního obvodu obce s rozšířenou působností dle číselníku ČSÚ,Název obce,Kód obce dle číselníku ČSÚ,Název ulice,Číslo popisné nebo evidenční podle typu čísla domovního,Typ čísla domovního,Číslo orientační,PSČ,Webové stránky,Zápis vektorové geometrie,Zeměpisná délka v souřadnicovém systému WGS84,Zeměpisná šířka v souřadnicovém systému WGS84,Jedinečný identifikátor v katalogu otevřených dat Data KHK,ObjectID,x2,y2
Babiččino údolí,socha P. Marie,28779274,Společnost s ručením omezeným,11782/6-1584,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Česká Skalice,573990,Ratibořice,2,č.p.,,552 03,https://pamatkovykatalog.cz/zamek-ratiborice-s-arealem-babiccina-udoli-12850868,POINT(50.4216 16.0558),16.0558,50.4216,NKPB1,1,1787323.48027865,6519612.22351371
Broumovský klášter,Benediktinský klášter,48648884,Církev,31494/6-1533,Královéhradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Broumov,573922,Klášterní,1,č.p.,,550 01,https://www.pamatkovykatalog.cz/benediktinsky-klaster-broumov-12833962,POINT(50.5866 16.3337),16.3337,50.5866,NKPB2,2,1818259.1667701,6548491.2749724
Hospital Kuks,zvonička,75032333,Příspěvková organizace,19798/6-3580,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Kuks,579416,Kuks,81,č.p.,,544 43,https://pamatkovykatalog.cz/hospital-kuks-13805881,POINT(50.3980 15.8907),15.8907,50.398,NKPB3,3,1768944.63234868,6515489.87571715
Hospital Kuks,obelisk,75032333,Příspěvková organizace,19798/6-3580,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Kuks,579416,Kuks,81,č.p.,,545 43,https://pamatkovykatalog.cz/hospital-kuks-13805881,POINT(50.3968 15.8890),15.889,50.3968,NKPB4,4,1768755.38921433,6515280.31965373
Hospital Kuks,obelisk,75032333,Příspěvková organizace,19798/6-3580,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Kuks,579416,Kuks,81,č.p.,,546 43,https://pamatkovykatalog.cz/hospital-kuks-13805881,POINT(50.3968 15.8897),15.8897,50.3968,NKPB5,5,1768833.31285789,6515280.31965373
Hospital Kuks,socha Velkého křesťanského bojovníka,75032333,Příspěvková organizace,19798/6-3580,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Kuks,579416,Kuks,81,č.p.,,547 43,https://pamatkovykatalog.cz/hospital-kuks-13805881,POINT(50.3968 15.8893),15.8893,50.3968,NKPB6,6,1768788.78506157,6515280.31965373
Hřbitovní kostel Panny Marie v Broumově,hřbitovní kostel Panny Marie v Broumově,48648884,Církev,46944/6-1540,Královéhradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Broumov,573922,Křinická,,,,550 01,https://www.pamatkovykatalog.cz/kostel-panny-marie-21157349,POINT(50.579 16.3329),16.3329,50.579,NKPB7,7,1818170.11117746,6547158.86842825
Kaple P. Marie Sněžné na Hvězdě,kaple P. Marie Sněžné na Hvězdě,46523936,Církev,24307/6-1637,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Police nad Metují,574341,Hlavňov,,,,549 54,https://www.pamatkovykatalog.cz/kaple-panny-marie-snezne-na-hvezde-2148117,POINT(50.5672 16.2669),16.2669,50.5672,NKPB8,8,1810823.02478511,6545090.55794297
Kostel sv. Anny,kostel sv. Anny,46503811,Církev,29424/6-1813,Královéhradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Meziměstí,574252,Meziměstí - Vižňov,,,,549 81,https://www.pamatkovykatalog.cz/kostel-sv-anny-2151551,POINT(50.6448 16.2392),16.2392,50.6448,NKPB9,9,1807739.47489013,6558701.84084619
Kostel sv. Barbory,kostel sv. Barbory,46503811,Církev,29136/6-1832,Královéhradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Otovice,574317,Otovice,,,,549 72,https://www.pamatkovykatalog.cz/kostel-sv-barbory-2151109,POINT(50.5576 16.3859),16.3859,50.5576,NKPB10,10,1824070.04418951,6543408.2467548
