Název,Region,Primární zatřídění,Sekundární zatřídění,Terciální zatřídění,Popis,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Název okresu,Kód okresu dle číselníku ČSÚ,Název správního obvodu obce s rozšířenou působností,Kód správního obvodu obce s rozšířenou působností dle číselníku ČSÚ,Název obce,Kód obce dle číselníku ČSÚ,Název ulice,Číslo popisné nebo evidenční podle typu čísla domovního,Typ čísla domovního,Číslo orientační,PSČ,Webové stránky,Telefon č. 1,Telefon č. 2,Mobil č. 1,Mobil č. 2,Mobil č. 3,Fax,Email č. 1,Email č. 2,Email č. 3,Zápis vektorové geometrie,Zeměpisná délka v souřadnicovém systému WGS84,Zeměpisná šířka v souřadnicovém systému WGS84,Jedinečný identifikátor v katalogu otevřených dat Data KHK,ID,x2,y2
Aerobic - Sportovní areál Jičín ,Jičín / Český ráj,Sport a relaxace / Ostatní letní sporty,,,"Cvičí se zde:- aerobic- bodystyling- STEP aerobik- dopolední cvičení pro děti 2 - 4 roky 
 
- odpolední cvičení pro děti 3 - 5 let 
 
2 zrcadlové stěny, 12 &times; 6 m, aparatura - ozvučení, mnoho cvičebních pomůcek pro dospělé i pro děti. 
 




Ceník pronájmu
Kč / hod.

sportovní akce pro děti a mládež
130,-

sportovní akce pro dospělé a komerce
200,- 
 ",Královehradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Jičín,572659,Revoluční,863,č.p.,,50601,"www.sport-jicin.cz/vnitrni/aerobic.php
http://www.sport-jicin.cz/podniky_popis.php",420 493 531 860,420493533462,420 604 239 008,,,,posta@sport-jicin.cz,,,POINT(50.44066694 15.36333028),15.36333028,50.44066694,OLS1,1,1710238.1037,6522944.256
Areál Mladé Buky – Relax & Sport Resort,Mladé Buky / Krkonoše,Sport a relaxace / Sjezdové lyžování,Sport a relaxace / Ostatní letní sporty,,"Zimní aktivity Sjezdovky, vleky a lanovky Díky šířce a profilu tratí nabízí areál lyžařské vyžití rodinám s dětmi i lyžařům hledajícím klidnější svahy a vleky bez front. 6 vleků, třísedačková a čtyřsedačková lanová dráha obsluhující 5,1 km denně kvalitně upravovaných a zasněžovaných tratí. Tratě jsou upravovány min. dvakrát denně rolbou, zasněžování probíhá vždy, když jsou vhodné klimatické podmínky. 
 KidPark  
 Pro pohodlnou přepravu je připraven pojezdový koberec a dětský vlek (lano), zajišťující bezpečné první pokusy na sněhu. Pro zpestření výuky jsou k dispozici různé druhy figurek, slalomy a průjezdy pro pobavení. 
 V ""psí boudě"" je pro děti připraveno zázemí. Kidpark naleznete za kulatým skibarem, hned vedle venkovního posezení.  
 Pro zákazníky lyžařské školy HELLISH HILL je zde vyhrazen oddělený prostor, ve kterém se začátečníci učí prvním lyžařským krůčkům.SnowPark Ve Snowparku, patřícím k Areálu Mladé Buky došlo k úpravě (zmenšení) překážek, aby si na své přišli nejen snowboardisté, ale také rodiny s dětmi.Snowpark je oddělen od areálu a má vlastní sjezdovku i vlek. Na sjezdovce o délce 500 m na vás čeká 8 překážek. Snowpark je pro vás otevřen každý den zimní sezóny a je upravován vždy před víkendem. 
 Večerní lyžování Večerní lyžování na 4,1 km upravených a osvětlených tratí vám každý večer nenabídne žádný jiný areál v ČR.  
 Večerní jízdy probíhají denně od 18 do 21 hodin.  
 Běžecké tratě Příznivcům klasického lyžování je připraven 5 km dlouhý běžecký okruh. Projedete se krásnou krajinou s výhledem na Krkonoše a užijete si dokonalý sportovní zážitek. 
 Bobová dráha Berta V horních pasážích vás uchvátí dokonalé výhledy na východní Krkonoše. Tento typ bobové dráhy umožňuje celoroční provoz i za nepříznivých podmínek. Dalším nezapomenutelným zážitkem je večerní jízda na osvětlené bobové dráze.  
 Dovolená s dětmi - nabídkaKidpark s pojezdovým kobercem a dětským vlekem. Děti při výuce lyžování provází psí maskot Balda a pro zpestření výuky jsou k dispozici různé druhy figurek, slalomy a průjezdy. Pro děti je zde také připraveno zázemí s celodenním pitným režimem - možnost hlídání dětí. Balda má navíc každou sobotu odpoledne od 13hod pro děti připraven program plný her a soutěží o drobné ceny. 
 ",Královehradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Mladé Buky,579548,Kalná Voda,7,č.p.,,54223,www.areal-mladebuky.cz,420 499 940 950,,420 775 340 712,,,,info@areal-mladebuky.cz,,,POINT(50.60050389 15.84490306),15.84490306,50.60050389,OLS2,2,1763846.5403,6550929.4151
Areál pozemního hokeje a malé kopané Farářství,Hradec Králové / Hradecko,Sport a relaxace / Ostatní letní sporty,,,"Kromě zmiňovaných hřišť zde byl vybudován také nový šatnový objekt s tribunou se zhruba 120 místy pro sezení, 31 parkovacích míst a autobusová zastávka, u které je největší zvláštností ponechaný elektrický sloup uprostřed vozovky zastávky. V areálu jsou také 4 stožáry s osvětlením. 
 
Součástí budovy se zázemím jsou šatny pro 8 týmů, klubovna a občerstvení pro hráče i diváky. Areál je kompletně ozvučen a mělo by zde fungovat i bezdrátové připojení k internetu (WiFi).Od 20. do 26. července 2014 se v tomto moderním areálu uskutečnilo Mistrovství Evropy juniorů v pozemním hokeji. 
 ",Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Kuklenská,1132,č.p.,,50002,http://www.ph-slaviahk.cz/,,,420 773 198 383,420724163054,420603175223,,stepanka.smidova@seznam.cz,marek.machut@gmail.com,david.bendak@ellacs.eu,POINT(50.20173806 15.80936083),15.80936083,50.20173806,OLS3,3,1759889.9974,6481286.8991
"Areál sportovních a volnočasových aktivit, Jaroměř",Jaroměř / Kladské pomezí,Sport a relaxace / Ostatní letní sporty,,Bez bariér / Služby,"V bezprostřední blízkosti areálu se nachází školní areály - Gymnázium, ZŠ a Střední škola řemeslná.  
 Atletický stadionAtletická dráha s umělým povrchem (400m)Velké travnaté hřiště kopanéAtletické sektory - skok daleký, skok do výšky, vrh koulí, hod oštěpem, kladivem a diskemHřiště pro malou kopanou s umělým povrchemObjekt letních šatenZáchytné parkovištěVíceúčelová halaBezbariérový přístupHala s vnitřním rozměrem 46 x 23 m, výška 10,5 mHorolezecká stěnaTribuna pro 210 divákůRecepceŠatnyUmývárny se sprchami a WCOšetřovna",Královehradecký kraj,CZ052,Náchod,CZ0523,Jaroměř,5206,Jaroměř,574121,Ot. Španiela,817,č.p.,,55101,www.jaromer-josefov.cz,,,420 604 968 412,420734319013,,,sportovni-areal-jaromer@seznam.cz,,,POINT(50.34960500 15.91860000),15.9186,50.349605,OLS4,4,1772050.4461,6507042.8575
Billiard club Hradec Králové,Hradec Králové / Hradecko,Sport a relaxace / Ostatní letní sporty,,,"Billiard club Hradec Králové je moderní sportovní kulečníkový klub (bar), který se nachází v docházkové vzdálenosti centra Hradce Králové. Stávající prostory kulečníkového klubu mají více než 500 m2 a prošly rozsáhlou rekonstrukcí, jejímž cílem bylo upravit prostor tak, aby byl zajištěn ničím nerušený prožitek při hraní kulečníkových her. Pro zvýšení komfortu při hře je celý prostor klubu klimatizovaný a nekuřácký. Klub je osazen celkem 11 stoly v závodní kvalitě (3x snooker - 12 stop, 7x pool - 9 stop a 1x karambol - 230). Ke hraní Vám budou zapůjčeny kvalitní tága a profesionální koule Super Aramith Pro. Klub je určen pro hráče všech věkových a výkonnostních kategorií. Součástí klubu je rovněž bar, kde je pro Vás připraven široký sortiment nealkoholických a alkoholických nápojů, jakož i drobné občerstvení. Samozřejmostí je bezbariérový přístup, profesionální obsluha, možnost bezdrátového připojení k internetu a promítání sportovních přenosů. V klubu jsou pravidelně pořádány turnaje pro amatéry i závodní hráče. V klubu probíhá rovněž výuka kulečníku pod vedením zkušených trenérů. Kulečník, jak jej neznáte = Billiard club Hradec Králové!  
 ",Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Milady Horákové,51,č.p.,,50006,www.billiardclubhk.cz,,,420 776 205 728,420777603365,,,jklimes@billiardclubhk.cz,imuska@billiardclubhk.cz,,POINT(50.18540389 15.84680889),15.84680889,50.18540389,OLS5,5,1764058.6963,6478446.6567
Bowling - hotel Paříž,Jičín / Český ráj,Sport a relaxace / Ostatní letní sporty,,,"Zde můžete využít bowlingovou dvojdráhu, bar s tanečním parketem a velkoplošnou projekcí, dále kulečník, šipky a stolní fotbal, golfový simulátor, sqash.  
 
V případě dotazu na provoz a objednávku na bowling volejte tel. číslo:  602 544 975  (po 15 hod.).  
 ",Královehradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Jičín,572659,Žižkovo náměstí,3,č.p.,,50601,www.hotel-pariz-jicin.cz,420 493 532 750,,420 720 997 605,,,,info@hotel-pariz-jicin.cz,,,POINT(50.43646389 15.35463806),15.35463806,50.43646389,OLS6,6,1709270.4902,6522209.6391
Bowling – penzion Hartaclub,Vrchlabí / Krkonoše,Sport a relaxace / Ostatní letní sporty,,,"Cena: 180 Kč / hodina / dráha 
 ",Královehradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Vrchlabí,579858,Jana Opletala,154,č.p.,,54303,www.hartaclub.cz,,,420 777 928 794,,,,hartaclub@seznam.cz,,,POINT(50.59305556 15.61777778),15.61777778,50.59305556,OLS7,7,1738563.0698,6549623.2111
Bowling - Sport bar Jičín,Jičín / Český ráj,Sport a relaxace / Ostatní letní sporty,,,"K dispozici : bowling 2dráhy (ligové rozměry), kulečník, fotbálek, sázková kancelář, jukebox, plazmové televize s velkým množstvím sportovních kanálů. 
 
Možnost upravení drah pro děti. 
 
Nekuřácké oddělení.  
 
Minutky dle nabídky na objednávku. 
 ",Královehradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Jičín,572659,Na Jihu,553,č.p.,,50601,www.rento-jc.cz,420 493 538 998,420731181331,,,,,jakub.senekl@centrum.cz,,,POINT(50.42505944 15.35370806),15.35370806,50.42505944,OLS8,8,1709166.963,6520216.6764
Bowling – Victory club,Vrchlabí / Krkonoše,Sport a relaxace / Ostatní letní sporty,,,"Ceník:  
 15:00&ndash;19:00    280 Kč/hodina 
 19:00&ndash;23:00    320 Kč/hodina 
 Akce pro školy:  240 Kč/hodina 
  
 ",Královehradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Vrchlabí,579858,V. Hálka,1154,č.p.,,54301,www.victoryclub.cz,,,420 736 772 487,420734717173,,,m.kovarna@tiscali.cz,,,POINT(50.62447694 15.61133500),15.611335,50.62447694,OLS9,9,1737845.8628,6555134.9421
Bowling Bar v Centru Walzel,Meziměstí / Broumovsko,Sport a relaxace / Ostatní letní sporty,,,"4 bowlingové dráhy firmy QubicaAMFVšechny dráhy jsou strojově mazané profesionální mazačkouDětský bowling - možnost nastavení mantinelů pro dětiLaserová střelnice, jukebox, šipky, kulečníkFiremní a individuální turnajeFiremní večírky, akce, zábavy, rauty, narozeninové pártyširoká nabídka alko i nealko nápojů ",Královehradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Meziměstí,574252,Dlouhá,138,č.p.,,54981,www.walzel.cz/bowling-bar,,,420 702 208 610,420724351801,,,boulas@walzel.cz,,,POINT(50.62525333 16.23894361),16.23894361,50.62525333,OLS10,10,1807710.9337,6555271.1779
"Bowling bar, Svoboda nad Úpou",Svoboda nad Úpou / Krkonoše,Sport a relaxace / Ostatní letní sporty,,,"Běžná cena za pronájem bowlingové dráhy : 220 Kč/hod. 
  ",Královehradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Svoboda nad Úpou,579734,nám. Svornosti,497,č.p.,,54224,cs.mestanskydum.cz,,,420 606 345 771,,,,ubytovani@mestanskydum.cz,mestansky.dum497@gmail.com,,POINT(50.62562972 15.81685250),15.8168525,50.62562972,OLS11,11,1760723.9663,6555337.2252
BR Sport Centrum Rychnov nad Kněžnou,Rychnov nad Kněžnou / Orlické hory a Podorlicko,Sport a relaxace / Ostatní letní sporty,,,"Jsme moderní sportovně-relaxační centrum určené pro všechny pohyb milující generace. U nás můžete strávit volný čas nejenom u raketových sportů, ale i u různých jiných pohybových aktivit ať už individuálních či skupinových. Nabízíme například: squash, tenis, badminton, cardiofitness, aerobic, powerjogu, stolní tenis, zumbu ... 
 ",Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,Javornická,1705,č.p.,,51601,www.brsportcentrum.cz,420 494 620 249,,420 773 047 791,,,,recepce@brsportcentrum.cz,,,POINT(50.16542806 16.28519000),16.28519,50.16542806,OLS12,12,1812859.0583,6474974.5099
Cablewakepark Hradec Králové,Hradec Králové / Hradecko,Sport a relaxace / Adrenalinové sporty,Sport a relaxace / Ostatní letní sporty,,"Cablewakepark Hradec Králové je ideálním místem kde aktivně trávit volný čas. Na krásně čisté vodě jsou pro Vás připraveny tři vleky, včetně kompletního zázemí s parkovištěm, plně vybavenou půjčovnou, občerstvením a barem. Na jednom místě vše co si můžete přát pro wakeboarding a další vodní sporty. ",Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Pardubická,,,,50004,www.cablewakepark.cz,,,420 720 519 331,,,,info@cablewakepark.cz,,,POINT(50.19095556 15.78696250),15.7869625,50.19095556,OLS13,13,1757396.6267,6479411.8914
